Type,,sound,Folder,file1,file2,file3,,,
Background,,journal ,background,journal,journal2,,,,
Background,,bonus,background,bonus,,,,,
Background,,games,background,,,,,,
Background,,team-up,background,teamup,,,,,
Background,,profile,background,profile,,,,,
Background,,transition sound,background,,,,,,
Background,,Animals and nature,background,,,,,,
,,,,,,,,,
Top bar,,new coins,coins,coin1,,,,,
Top bar,,new stars,resources,StarCollect,,,,,
Top bar,,buy food,resources,food,,,,,
Top bar,,buy cleaning,resources,cleaning,,,,,
Top bar,,Buy toys,resources,toys,,,,,
Top bar,,unlock Pet,success,winning,,,,,
Top bar,,complete pet ring,success,celebration,,,,,
Top bar,,enter pet,transitions,opener,,,,,
Top bar,,play cat,pets/play,cat,cat2,,,,
Top bar,,play dog,pets/play,dog,dog2,,,,
Top bar,,play squirrel,pets/play,squirrel,squirrel2,,,,
Top bar,,play rabbit,pets/play,rabbit,rabbit2,,,,
Top bar,,play owl,pets/play,owl,owl2,,,,
Top bar,,eat cat,pets/eat,cat,,,,,
Top bar,,eat dog,pets/eat,dog,,,,,
Top bar,,eat squirrel,pets/eat,squirrel,,,,,
Top bar,,eat rabbit,pets/eat,rabbit,,,,,
Top bar,,eat owl,pets/eat,owl,,,,,
Top bar,,cleaning,pets/cleaning,spray,,,,,
Top bar,,cleaning,pets/cleaning,towel,,,,,
Top bar,,cleaning,pets/cleaning,shower,,,,,
Top bar,,cleaning,pets/cleaning,scrubbing,,,,,
,,,,,,,,,
,,,,,,,,,
Bonus,,enter bonus game,background,bonus,,,,,
Bonus,,complete bonus game,succes,bonuswin,,,,,
Bonus,,get bonus points,coins,coin1,,,,,
,,,,,,,,,
Bonus_bubble,,background (bubble),background,bubbles,,,,,
Bonus_bubble,,new bubble,bubble,newbubble,,,,,
Bonus_bubble,,move right-left,bubble,move,,,,,
Bonus_bubble,,bubblegetout,bubble,bubblegetout,,,,,
Bonus_bubble,,friction with side bar,bubble,friction,,,,,
Bonus_bubble,,right answer,bubble,rightanswer,,,,,
Bonus_bubble,,wrong answer,bubble,fail,,,,,
Bonus_bubble,,get coin,coins,coin1,,,,,
Bonus_bubble,,completed daily goal,success,completed,,,,,
,,,,,,,,,
Bonus_Tetris,,background (tetris),background,tetris,,,,,
Bonus_Tetris,,select number,tetris,select,,,,,
Bonus_Tetris,,unselect number,tetris,unselect,,,,,
Bonus_Tetris,,right set,tetris,right,,,,,
Bonus_Tetris,,wrong set,tetris,wrong,,,,,
Bonus_Tetris,,all found,tetris,allfound,,,,,
Bonus_Tetris,,new numbers falling (resest button),tetris,fall,,,,,
Bonus_Tetris,,new numbers hitting floor,tetris,hit,,,,,
Bonus_Tetris,,get coins,coins,coin1,,,,,
Bonus_Tetris,,completed daily goal,success,completed,,,,,
,,,,,,,,,
Bonus_Balance,,background (balance),background,balance,,,,,
Bonus_Balance,,move balance,whoosh,LongWhoosh,,,,,
Bonus_Balance,,hit,balance,hit,,,,,
Bonus_Balance,,right answer,success,Positive Game Win,,,,,
Bonus_Balance,,wrong answer,fail,Fun Little Retro Fail,,,,,
Bonus_Balance,,set out,whoosh,Blade Whoosh,,,,,
Bonus_Balance,,set in,whoosh,Blade Whoosh,,,,,
Bonus_Balance,,get coin,coins,coin1,,,,,
Bonus_Balance,,completed daily goal,success,completed,,,,,
,,,,,,,,,
Journal,,new acheivement,,,,,,,
Journal,,New day,whoosh,LongWhoosh,,,,,
Journal,,Daily target reached,success,celebration,,,,,
Journal,,Completed Assignment,success,fanfare,,,,,
,,,,,,,,,
Profile,,background,background,profile,,,,,
Profile,,create account,success,bonuswin,,,,,
Profile,,select item,tap,tap,,,,,
Profile,,Review (happy),review,happy,,,,,
Profile,,Review (sad),review,sad,,,,,
,,,,,,,,,
Team-up,,background (profile),background,teamup,,,,,
